function,slot,fixed,sentinel,symbolic
clutter_actor_add_action,0,,,
clutter_actor_add_action,1,,,
clutter_actor_add_action_with_name,0,,,
clutter_actor_add_action_with_name,1,,NUL,
clutter_actor_add_action_with_name,2,,,
clutter_actor_add_child,0,,,
clutter_actor_add_child,1,,,
clutter_actor_add_constraint,0,,,
clutter_actor_add_constraint,1,,,
clutter_actor_add_constraint_with_name,0,,,
clutter_actor_add_constraint_with_name,1,,NUL,
clutter_actor_add_constraint_with_name,2,,,
clutter_actor_add_effect,0,,,
clutter_actor_add_effect,1,,,
clutter_actor_add_effect_with_name,0,,,
clutter_actor_add_effect_with_name,1,,NUL,
clutter_actor_add_effect_with_name,2,,,
clutter_actor_add_transition,0,,,
clutter_actor_add_transition,1,,NUL,
clutter_actor_add_transition,2,,,
clutter_actor_allocate,0,,,
clutter_actor_allocate,1,,,
clutter_actor_allocate,2,,,
clutter_actor_allocate_align_fill,0,,,
clutter_actor_allocate_align_fill,1,,,
clutter_actor_allocate_align_fill,2,,,
clutter_actor_allocate_align_fill,3,,,
clutter_actor_allocate_align_fill,4,,,
clutter_actor_allocate_align_fill,5,,,
clutter_actor_allocate_align_fill,6,,,
clutter_actor_allocate_available_size,0,,,
clutter_actor_allocate_available_size,1,,,
clutter_actor_allocate_available_size,2,,,
clutter_actor_allocate_available_size,3,,,
clutter_actor_allocate_available_size,4,,,
clutter_actor_allocate_available_size,5,,,
clutter_actor_allocate_preferred_size,0,,,
clutter_actor_allocate_preferred_size,1,,,
clutter_actor_animate,0,,,
clutter_actor_animate,1,,,
clutter_actor_animate,2,,,
clutter_actor_animate,3,,NUL,
clutter_actor_animate,4,,,
clutter_actor_animate_with_alpha,0,,,
clutter_actor_animate_with_alpha,1,,,
clutter_actor_animate_with_alpha,2,,NUL,
clutter_actor_animate_with_alpha,3,,,
clutter_actor_animate_with_alphav,0,,,
clutter_actor_animate_with_alphav,1,,,
clutter_actor_animate_with_alphav,2,,,
clutter_actor_animate_with_alphav,3,,,2
clutter_actor_animate_with_alphav,4,,,2
clutter_actor_animate_with_timeline,0,,,
clutter_actor_animate_with_timeline,1,,,
clutter_actor_animate_with_timeline,2,,,
clutter_actor_animate_with_timeline,3,,NUL,
clutter_actor_animate_with_timeline,4,,,
clutter_actor_animate_with_timelinev,0,,,
clutter_actor_animate_with_timelinev,1,,,
clutter_actor_animate_with_timelinev,2,,,
clutter_actor_animate_with_timelinev,3,,,
clutter_actor_animate_with_timelinev,4,,,3
clutter_actor_animate_with_timelinev,5,,,3
clutter_actor_animatev,0,,,
clutter_actor_animatev,1,,,
clutter_actor_animatev,2,,,
clutter_actor_animatev,3,,,
clutter_actor_animatev,4,,,3
clutter_actor_animatev,5,,,3
clutter_actor_apply_relative_transform_to_point,0,,,
clutter_actor_apply_relative_transform_to_point,1,,,
clutter_actor_apply_relative_transform_to_point,2,,,
clutter_actor_apply_relative_transform_to_point,3,,,
clutter_actor_apply_transform_to_point,0,,,
clutter_actor_apply_transform_to_point,1,,,
clutter_actor_apply_transform_to_point,2,,,
clutter_actor_box_clamp_to_pixel,0,,,
clutter_actor_box_contains,0,,,
clutter_actor_box_contains,1,,,
clutter_actor_box_contains,2,,,
clutter_actor_box_copy,0,,,
clutter_actor_box_equal,0,,,
clutter_actor_box_equal,1,,,
clutter_actor_box_free,0,,,
clutter_actor_box_from_vertices,0,,,
clutter_actor_box_from_vertices,1,4,,
clutter_actor_box_get_area,0,,,
clutter_actor_box_get_height,0,,,
clutter_actor_box_get_origin,0,,,
