function,slot,fixed,sentinel,symbolic
gck_attribute_clear,0,,,
gck_attribute_dump,0,,,
gck_attribute_dup,0,,,
gck_attribute_equal,0,,,
gck_attribute_equal,1,,,
gck_attribute_free,0,,,
gck_attribute_get_boolean,0,,,
gck_attribute_get_data,0,,,
gck_attribute_get_data,1,,,
gck_attribute_get_date,0,,,
gck_attribute_get_date,1,,,
gck_attribute_get_string,0,,,
gck_attribute_get_ulong,0,,,
gck_attribute_hash,0,,,
gck_attribute_init,0,,,
gck_attribute_init,1,,,
gck_attribute_init,2,,,3
gck_attribute_init,3,,,
gck_attribute_init_boolean,0,,,
gck_attribute_init_boolean,1,,,
gck_attribute_init_boolean,2,,,
gck_attribute_init_copy,0,,,
gck_attribute_init_copy,1,,,
gck_attribute_init_date,0,,,
gck_attribute_init_date,1,,,
gck_attribute_init_date,2,,,
gck_attribute_init_empty,0,,,
gck_attribute_init_empty,1,,,
gck_attribute_init_invalid,0,,,
gck_attribute_init_invalid,1,,,
gck_attribute_init_string,0,,,
gck_attribute_init_string,1,,,
gck_attribute_init_string,2,,NUL,
gck_attribute_init_ulong,0,,,
gck_attribute_init_ulong,1,,,
gck_attribute_init_ulong,2,,,
gck_attribute_is_invalid,0,,,
gck_attributes_at,0,,,
gck_attributes_at,1,,,
gck_attributes_contains,0,,,
gck_attributes_contains,1,,,
gck_attributes_count,0,,,
gck_attributes_dump,0,,,
gck_attributes_find,0,,,
gck_attributes_find,1,,,
gck_attributes_find_boolean,0,,,
gck_attributes_find_boolean,1,,,
gck_attributes_find_boolean,2,,,
gck_attributes_find_date,0,,,
gck_attributes_find_date,1,,,
gck_attributes_find_date,2,,,
gck_attributes_find_string,0,,,
gck_attributes_find_string,1,,,
gck_attributes_find_string,2,,,
gck_attributes_find_ulong,0,,,
gck_attributes_find_ulong,1,,,
gck_attributes_find_ulong,2,,,
gck_attributes_ref,0,,,
gck_attributes_ref_sink,0,,,
gck_attributes_to_string,0,,,
gck_attributes_unref,0,,,
gck_builder_add_all,0,,,
gck_builder_add_all,1,,,
gck_builder_add_attribute,0,,,
gck_builder_add_attribute,1,,,
gck_builder_add_boolean,0,,,
gck_builder_add_boolean,1,,,
gck_builder_add_boolean,2,,,
gck_builder_add_data,0,,,
gck_builder_add_data,1,,,
gck_builder_add_data,2,,,3
gck_builder_add_data,3,,,
gck_builder_add_date,0,,,
gck_builder_add_date,1,,,
gck_builder_add_date,2,,,
gck_builder_add_empty,0,,,
gck_builder_add_empty,1,,,
gck_builder_add_except,0,,,
gck_builder_add_except,1,,,
gck_builder_add_except,2,,,
gck_builder_add_except,3,,,
gck_builder_add_exceptv,0,,,
gck_builder_add_exceptv,1,,,
gck_builder_add_exceptv,2,,,3
gck_builder_add_exceptv,3,,,
gck_builder_add_invalid,0,,,
gck_builder_add_invalid,1,,,
gck_builder_add_only,0,,,
gck_builder_add_only,1,,,
gck_builder_add_only,2,,,
gck_builder_add_only,3,,,
gck_builder_add_onlyv,0,,,
gck_builder_add_onlyv,1,,,
gck_builder_add_onlyv,2,,,3
gck_builder_add_onlyv,3,,,
gck_builder_add_string,0,,,
gck_builder_add_string,1,,,
gck_builder_add_string,2,,NUL,
gck_builder_add_ulong,0,,,
gck_builder_add_ulong,1,,,
gck_builder_add_ulong,2,,,
gck_builder_clear,0,,,
gck_builder_copy,0,,,
gck_builder_end,0,,,
gck_builder_find,0,,,
gck_builder_find,1,,,
gck_builder_find_boolean,0,,,
gck_builder_find_boolean,1,,,
gck_builder_find_boolean,2,,,
gck_builder_find_date,0,,,
gck_builder_find_date,1,,,
gck_builder_find_date,2,,,
gck_builder_find_string,0,,,
gck_builder_find_string,1,,,
gck_builder_find_string,2,,,
gck_builder_find_ulong,0,,,
gck_builder_find_ulong,1,,,
gck_builder_find_ulong,2,,,
gck_builder_init,0,,,
gck_builder_init_full,0,,,
gck_builder_init_full,1,,,
gck_builder_ref,0,,,
gck_builder_set_all,0,,,
gck_builder_set_all,1,,,
gck_builder_set_boolean,0,,,
gck_builder_set_boolean,1,,,
gck_builder_set_boolean,2,,,
gck_builder_set_data,0,,,
gck_builder_set_data,1,,,
gck_builder_set_data,2,,,3
gck_builder_set_data,3,,,
gck_builder_set_date,0,,,
gck_builder_set_date,1,,,
gck_builder_set_date,2,,,
gck_builder_set_empty,0,,,
gck_builder_set_empty,1,,,
gck_builder_set_invalid,0,,,
gck_builder_set_invalid,1,,,
gck_builder_set_string,0,,,
gck_builder_set_string,1,,,
gck_builder_set_string,2,,NUL,
gck_builder_set_ulong,0,,,
gck_builder_set_ulong,1,,,
gck_builder_set_ulong,2,,,
gck_builder_steal,0,,,
gck_builder_take_data,0,,,
gck_builder_take_data,1,,,
gck_builder_take_data,2,,,
gck_builder_take_data,3,,,
gck_builder_unref,0,,,
gck_enumerator_get_chained,0,,,
gck_enumerator_get_interaction,0,,,
gck_enumerator_get_object_type,0,,,
gck_enumerator_next,0,,,
gck_enumerator_next,1,,,
gck_enumerator_next_async,0,,,
gck_enumerator_next_async,1,,,
gck_enumerator_next_async,2,,,
gck_enumerator_next_async,3,,,
gck_enumerator_next_async,4,,,
gck_enumerator_next_finish,0,,,
gck_enumerator_next_finish,1,,,
gck_enumerator_next_n,0,,,
gck_enumerator_next_n,1,,,
gck_enumerator_next_n,2,,,
gck_enumerator_set_chained,0,,,
gck_enumerator_set_chained,1,,,
gck_enumerator_set_interaction,0,,,
gck_enumerator_set_interaction,1,,,
gck_enumerator_set_object_type,0,,,
gck_enumerator_set_object_type,1,,,
gck_enumerator_set_object_type_full,0,,,
gck_enumerator_set_object_type_full,1,,,
gck_enumerator_set_object_type_full,2,,,3
gck_enumerator_set_object_type_full,3,,,
gck_list_ref_copy,0,,,
gck_list_unref_free,0,,,
gck_mechanism_info_copy,0,,,
gck_mechanism_info_free,0,,,
gck_mechanisms_check,0,,,
gck_mechanisms_check,1,,,
gck_message_from_rv,0,,,
gck_module_equal,0,,,
gck_module_equal,1,,,
gck_module_get_functions,0,,,
gck_module_get_info,0,,,
gck_module_get_path,0,,,
gck_module_get_slots,0,,,
gck_module_get_slots,1,,,
gck_module_hash,0,,,
gck_module_info_copy,0,,,
gck_module_info_free,0,,,
gck_module_initialize,0,,NUL,
gck_module_initialize,1,,,
gck_module_initialize_async,0,,NUL,
gck_module_initialize_async,1,,,
gck_module_initialize_async,2,,,
gck_module_initialize_async,3,,,
gck_module_initialize_finish,0,,,
gck_module_match,0,,,
gck_module_match,1,,,
gck_modules_enumerate_objects,0,,,
gck_modules_enumerate_objects,1,,,
gck_modules_enumerate_objects,2,,,
gck_modules_enumerate_uri,0,,,
gck_modules_enumerate_uri,1,,NUL,
gck_modules_enumerate_uri,2,,,
gck_modules_get_slots,0,,,
gck_modules_get_slots,1,,,
gck_modules_initialize_registered,0,,,
gck_modules_initialize_registered_async,0,,,
gck_modules_initialize_registered_async,1,,,
gck_modules_initialize_registered_async,2,,,
gck_modules_initialize_registered_finish,0,,,
gck_modules_object_for_uri,0,,,
gck_modules_object_for_uri,1,,NUL,
gck_modules_object_for_uri,2,,,
gck_modules_objects_for_uri,0,,,
gck_modules_objects_for_uri,1,,NUL,
gck_modules_objects_for_uri,2,,,
gck_modules_token_for_uri,0,,,
gck_modules_token_for_uri,1,,NUL,
gck_modules_tokens_for_uri,0,,,
gck_modules_tokens_for_uri,1,,NUL,
gck_object_cache_fill,0,,,
gck_object_cache_fill,1,,,
gck_object_cache_get_attributes,0,,,
gck_object_cache_lookup,0,,,
gck_object_cache_lookup,1,,,2
gck_object_cache_lookup,2,,,
gck_object_cache_lookup,3,,,
gck_object_cache_lookup_async,0,,,
gck_object_cache_lookup_async,1,,,2
gck_object_cache_lookup_async,2,,,
gck_object_cache_lookup_async,3,,,
gck_object_cache_lookup_async,4,,,
gck_object_cache_lookup_async,5,,,
gck_object_cache_lookup_finish,0,,,
gck_object_cache_lookup_finish,1,,,
gck_object_cache_set_attributes,0,,,
gck_object_cache_set_attributes,1,,,
gck_object_cache_update,0,,,
gck_object_cache_update,1,,,2
gck_object_cache_update,2,,,
gck_object_cache_update,3,,,
gck_object_cache_update_async,0,,,
gck_object_cache_update_async,1,,,2
gck_object_cache_update_async,2,,,
gck_object_cache_update_async,3,,,
gck_object_cache_update_async,4,,,
gck_object_cache_update_async,5,,,
gck_object_cache_update_finish,0,,,
gck_object_cache_update_finish,1,,,
gck_object_destroy,0,,,
gck_object_destroy,1,,,
gck_object_destroy_async,0,,,
gck_object_destroy_async,1,,,
gck_object_destroy_async,2,,,
gck_object_destroy_async,3,,,
gck_object_destroy_finish,0,,,
gck_object_destroy_finish,1,,,
gck_object_equal,0,,,
gck_object_equal,1,,,
gck_object_from_handle,0,,,
gck_object_from_handle,1,,,
gck_object_get,0,,,
gck_object_get,1,,,
gck_object_get,2,,,
gck_object_get,3,,,
gck_object_get_async,0,,,
gck_object_get_async,1,,,2
gck_object_get_async,2,,,
gck_object_get_async,3,,,
gck_object_get_async,4,,,
gck_object_get_async,5,,,
gck_object_get_data,0,,,
gck_object_get_data,1,,,
gck_object_get_data,2,,,
gck_object_get_data,3,,,
gck_object_get_data_async,0,,,
gck_object_get_data_async,1,,,
gck_object_get_data_async,2,,,
gck_object_get_data_async,3,,,
gck_object_get_data_async,4,,,
gck_object_get_data_async,5,,,
gck_object_get_data_finish,0,,,
gck_object_get_data_finish,1,,,
gck_object_get_data_finish,2,,,
gck_object_get_data_full,0,,,
gck_object_get_data_full,1,,,
gck_object_get_data_full,2,,,
gck_object_get_data_full,3,,,
gck_object_get_data_full,4,,,
gck_object_get_finish,0,,,
gck_object_get_finish,1,,,
gck_object_get_full,0,,,
