function,slot,fixed,sentinel,symbolic
gtk_about_dialog_add_credit_section,0,,,
gtk_about_dialog_add_credit_section,1,,NUL,
gtk_about_dialog_add_credit_section,2,,NUL,
gtk_about_dialog_get_artists,0,,,
gtk_about_dialog_get_authors,0,,,
gtk_about_dialog_get_comments,0,,,
gtk_about_dialog_get_copyright,0,,,
gtk_about_dialog_get_documenters,0,,,
gtk_about_dialog_get_license,0,,,
gtk_about_dialog_get_license_type,0,,,
gtk_about_dialog_get_logo,0,,,
gtk_about_dialog_get_logo_icon_name,0,,,
gtk_about_dialog_get_program_name,0,,,
gtk_about_dialog_get_translator_credits,0,,,
gtk_about_dialog_get_version,0,,,
gtk_about_dialog_get_website,0,,,
gtk_about_dialog_get_website_label,0,,,
gtk_about_dialog_get_wrap_license,0,,,
gtk_about_dialog_set_artists,0,,,
gtk_about_dialog_set_artists,1,,NUL,
gtk_about_dialog_set_authors,0,,,
gtk_about_dialog_set_authors,1,,NUL,
gtk_about_dialog_set_comments,0,,,
gtk_about_dialog_set_comments,1,,NUL,
gtk_about_dialog_set_copyright,0,,,
gtk_about_dialog_set_copyright,1,,NUL,
gtk_about_dialog_set_documenters,0,,,
gtk_about_dialog_set_documenters,1,,NUL,
gtk_about_dialog_set_license,0,,,
gtk_about_dialog_set_license,1,,NUL,
gtk_about_dialog_set_license_type,0,,,
gtk_about_dialog_set_license_type,1,,,
gtk_about_dialog_set_logo,0,,,
gtk_about_dialog_set_logo,1,,,
gtk_about_dialog_set_logo_icon_name,0,,,
gtk_about_dialog_set_logo_icon_name,1,,NUL,
gtk_about_dialog_set_program_name,0,,,
gtk_about_dialog_set_program_name,1,,NUL,
gtk_about_dialog_set_translator_credits,0,,,
gtk_about_dialog_set_translator_credits,1,,NUL,
gtk_about_dialog_set_version,0,,,
gtk_about_dialog_set_version,1,,NUL,
gtk_about_dialog_set_website,0,,,
gtk_about_dialog_set_website,1,,NUL,
gtk_about_dialog_set_website_label,0,,,
gtk_about_dialog_set_website_label,1,,NUL,
gtk_about_dialog_set_wrap_license,0,,,
gtk_about_dialog_set_wrap_license,1,,,
gtk_accel_group_activate,0,,,
gtk_accel_group_activate,1,,,
gtk_accel_group_activate,2,,,
gtk_accel_group_activate,3,,,
gtk_accel_group_activate,4,,,
gtk_accel_group_connect,0,,,
gtk_accel_group_connect,1,,,
gtk_accel_group_connect,2,,,
gtk_accel_group_connect,3,,,
gtk_accel_group_connect,4,,,
gtk_accel_group_connect_by_path,0,,,
gtk_accel_group_connect_by_path,1,,NUL,
gtk_accel_group_connect_by_path,2,,,
gtk_accel_group_disconnect,0,,,
gtk_accel_group_disconnect,1,,,
gtk_accel_group_disconnect_key,0,,,
gtk_accel_group_disconnect_key,1,,,
