function,slot,fixed,sentinel,symbolic
tp_account_associated_with_uri_scheme,0,,,
tp_account_associated_with_uri_scheme,1,,NUL,
tp_account_bind_connection_status_to_property,0,,,
tp_account_bind_connection_status_to_property,1,,,
tp_account_bind_connection_status_to_property,2,,NUL,
tp_account_bind_connection_status_to_property,3,,,
tp_account_channel_request_create_and_handle_channel_async,0,,,
tp_account_channel_request_create_and_handle_channel_async,1,,,
tp_account_channel_request_create_and_handle_channel_async,2,,,
tp_account_channel_request_create_and_handle_channel_async,3,,,
tp_account_channel_request_create_and_handle_channel_finish,0,,,
tp_account_channel_request_create_and_handle_channel_finish,1,,,
tp_account_channel_request_create_and_handle_channel_finish,2,,,
tp_account_channel_request_create_and_observe_channel_async,0,,,
tp_account_channel_request_create_and_observe_channel_async,1,,NUL,
tp_account_channel_request_create_and_observe_channel_async,2,,,
tp_account_channel_request_create_and_observe_channel_async,3,,,
tp_account_channel_request_create_and_observe_channel_async,4,,,
tp_account_channel_request_create_and_observe_channel_finish,0,,,
tp_account_channel_request_create_and_observe_channel_finish,1,,,
tp_account_channel_request_create_channel_async,0,,,
tp_account_channel_request_create_channel_async,1,,NUL,
tp_account_channel_request_create_channel_async,2,,,
tp_account_channel_request_create_channel_async,3,,,
tp_account_channel_request_create_channel_async,4,,,
tp_account_channel_request_create_channel_finish,0,,,
tp_account_channel_request_create_channel_finish,1,,,
tp_account_channel_request_dup_request,0,,,
tp_account_channel_request_ensure_and_handle_channel_async,0,,,
tp_account_channel_request_ensure_and_handle_channel_async,1,,,
tp_account_channel_request_ensure_and_handle_channel_async,2,,,
tp_account_channel_request_ensure_and_handle_channel_async,3,,,
tp_account_channel_request_ensure_and_handle_channel_finish,0,,,
tp_account_channel_request_ensure_and_handle_channel_finish,1,,,
tp_account_channel_request_ensure_and_handle_channel_finish,2,,,
tp_account_channel_request_ensure_and_observe_channel_async,0,,,
tp_account_channel_request_ensure_and_observe_channel_async,1,,NUL,
tp_account_channel_request_ensure_and_observe_channel_async,2,,,
tp_account_channel_request_ensure_and_observe_channel_async,3,,,
tp_account_channel_request_ensure_and_observe_channel_async,4,,,
tp_account_channel_request_ensure_and_observe_channel_finish,0,,,
tp_account_channel_request_ensure_and_observe_channel_finish,1,,,
tp_account_channel_request_ensure_channel_async,0,,,
tp_account_channel_request_ensure_channel_async,1,,NUL,
tp_account_channel_request_ensure_channel_async,2,,,
tp_account_channel_request_ensure_channel_async,3,,,
tp_account_channel_request_ensure_channel_async,4,,,
tp_account_channel_request_ensure_channel_finish,0,,,
tp_account_channel_request_ensure_channel_finish,1,,,
tp_account_channel_request_get_account,0,,,
tp_account_channel_request_get_channel_request,0,,,
tp_account_channel_request_get_request,0,,,
tp_account_channel_request_get_user_action_time,0,,,
tp_account_channel_request_set_channel_factory,0,,,
tp_account_channel_request_set_channel_factory,1,,,
tp_account_channel_request_set_conference_initial_channels,0,,,
tp_account_channel_request_set_conference_initial_channels,1,,NUL,
tp_account_channel_request_set_delegate_to_preferred_handler,0,,,
tp_account_channel_request_set_delegate_to_preferred_handler,1,,,
tp_account_channel_request_set_delegated_channel_callback,0,,,
tp_account_channel_request_set_delegated_channel_callback,1,,,
tp_account_channel_request_set_delegated_channel_callback,2,,,
tp_account_channel_request_set_delegated_channel_callback,3,,,
tp_account_channel_request_set_file_transfer_description,0,,,
tp_account_channel_request_set_file_transfer_description,1,,NUL,
tp_account_channel_request_set_file_transfer_hash,0,,,
tp_account_channel_request_set_file_transfer_hash,1,,,
tp_account_channel_request_set_file_transfer_hash,2,,NUL,
tp_account_channel_request_set_file_transfer_initial_offset,0,,,
tp_account_channel_request_set_file_transfer_initial_offset,1,,,
tp_account_channel_request_set_file_transfer_timestamp,0,,,
tp_account_channel_request_set_file_transfer_timestamp,1,,,
tp_account_channel_request_set_file_transfer_uri,0,,,
tp_account_channel_request_set_file_transfer_uri,1,,NUL,
tp_account_channel_request_set_hint,0,,,
tp_account_channel_request_set_hint,1,,NUL,
